Time: 403 | Quality: 32.5 | Data: B
Time: 81 | Quality: 33.2 | Data: M
Time: 541 | Quality: 33.5 | Data: d
Time: 198 | Quality: 3.5 | Data: M
Time: 28 | Quality: 49.1 | Data: a
Time: 352 | Quality: 10.4 | Data: Y
Time: 651 | Quality: 37.9 | Data: j
Time: 484 | Quality: 46.7 | Data: l
Time: 993 | Quality: 8.7 | Data: b
Time: 402 | Quality: 46.7 | Data: H
Time: 982 | Quality: 19 | Data: L
Time: 532 | Quality: 39.6 | Data: C
Time: 655 | Quality: 18.5 | Data: w
Time: 579 | Quality: 27.1 | Data: P
Time: 759 | Quality: 81.4 | Data: Q
Time: 732 | Quality: 83.4 | Data: a
Time: 555 | Quality: 82.1 | Data: B
Time: 955 | Quality: 27.1 | Data: I
Time: 414 | Quality: 33.2 | Data: G
Time: 827 | Quality: 76.8 | Data: C
Time: 142 | Quality: 36.5 | Data: Z
Time: 432 | Quality: 76.2 | Data: Y
Time: 396 | Quality: 47.6 | Data: r
Time: 381 | Quality: 2.7 | Data: G
Time: 56 | Quality: 60.6 | Data: A
Time: 86 | Quality: 8 | Data: n
Time: 872 | Quality: 26.5 | Data: o
Time: 771 | Quality: 68.6 | Data: w
Time: 439 | Quality: 68.8 | Data: n
Time: 913 | Quality: 46.5 | Data: O
Time: 547 | Quality: 21.8 | Data: Q
Time: 98 | Quality: 51.4 | Data: P
Time: 616 | Quality: 84.9 | Data: U
Time: 87 | Quality: 36.1 | Data: k
Time: 183 | Quality: 78.9 | Data: i
Time: 998 | Quality: 60.3 | Data: T
Time: 51 | Quality: 9.3 | Data: y
Time: 473 | Quality: 32.4 | Data: Y
Time: 906 | Quality: 86.7 | Data: f
Time: 568 | Quality: 12.4 | Data: c
Time: 248 | Quality: 11.9 | Data: b
Time: 916 | Quality: 79.2 | Data: u
Time: 132 | Quality: 8.7 | Data: b
Time: 468 | Quality: 87.9 | Data: P
Time: 389 | Quality: 9.2 | Data: W
Time: 378 | Quality: 28.6 | Data: q
Time: 385 | Quality: 54 | Data: b
Time: 384 | Quality: 9.8 | Data: e
Time: 312 | Quality: 35.6 | Data: S
Time: 990 | Quality: 20.4 | Data: k
Time: 576 | Quality: 9.1 | Data: R
Time: 337 | Quality: 10.3 | Data: g
Time: 584 | Quality: 9.6 | Data: G
Time: 73 | Quality: 78.3 | Data: q
Time: 877 | Quality: 29.4 | Data: x
Time: 415 | Quality: 19.8 | Data: i
Time: 409 | Quality: 75 | Data: n
Time: 329 | Quality: 21.5 | Data: I
Time: 364 | Quality: 38.4 | Data: p
Time: 320 | Quality: 76.7 | Data: x
Time: 739 | Quality: 85.7 | Data: Y
Time: 970 | Quality: 82 | Data: S
Time: 974 | Quality: 64.4 | Data: O
Time: 244 | Quality: 86.4 | Data: i
Time: 681 | Quality: 42.7 | Data: g
