-9.19	-9.44	7	0.57
-2.4	-9.05	-7	0.24
-13.22	0.24	5	0.22
13.42	4.62	-2	0.26
6.82	0.6	5	0.3
0.27	11.17	3	0.07
-11.	-0.24	0	0.62
1.05	13.33	7	0.31
-0.61	5.88	10	0.73
6.31	3.92	-5	0.91
15.25	6.35	-2	0.13
1.61	13.25	4	0.91
-1.85	9.99	-6	0.03
-0.22	10.01	-2	0.86
-4.	-3.45	-3	0.47
-9.49	-13.46	-4	0.94
6.89	5.92	1	0.89
3.82	9.54	-3	0.56
0.55	4.73	5	0.52
1.61	12.73	-8	0.55
13.85	2.8	1	0.5
-6.42	0.74	7	0.04
5.59	10.47	8	0.07
-7.08	4.17	7	0.06
3.8	7.65	-3	0.62
3.51	14.31	6	0.14
-1.34	10.02	7	0.05
-11.7	4.38	4	0.1
-11.77	-1.83	8	0.53
12.85	0.49	1	0.79
-2.68	0.54	2	0.61
3.5	13.29	0	0.75
-11.	5.19	-6	0.
3.23	8.07	10	0.78
-13.58	0.9	10	0.44
-11.02	5.57	-6	0.69
-4.77	-1.47	-6	0.58
11.69	3.18	-10	0.65
14.66	6.38	8	0.89
-13.12	-2.24	9	0.78
-8.38	1.26	-3	0.28
6.17	6.65	-3	0.44
13.14	3.03	-4	0.1
-15.66	8.06	-2	0.18
-12.08	1.15	-7	0.72
0.78	13.88	8	0.6
0.98	10.84	0	0.79
3.8	9.17	-4	0.76
2.91	11.95	-3	0.43
2.44	8.64	5	0.87
10.91	6.34	2	0.64
-12.2	6.2	-7	0.7
-4.29	3.43	-4	0.5
-10.46	4.23	-5	0.79
3.16	8.4	-2	0.59
3.61	5.28	7	0.2
8.93	10.28	1	0.97
5.39	5.55	-1	0.68
13.22	0.59	-3	0.86
2.58	8.8	-9	0.66
4.85	11.85	-3	0.79
1.88	9.04	-6	0.79
15.	6.22	-5	0.85
11.6	8.42	10	0.35
-17.22	-3.65	7	0.7
-6.93	-0.86	-6	0.24
7.39	2.11	6	0.56
-2.77	-8.22	8	0.31
3.96	9.22	-2	0.24
4.43	11.9	1	0.34
10.3	1.21	-3	0.03
-4.31	6.55	-1	0.52
-1.19	-2.24	-1	0.02
-13.19	3.43	2	0.64
-7.18	0.43	-1	0.55
10.06	6.9	0	0.92
-11.41	-11.02	0	0.72
1.17	9.68	-3	0.43
-5.71	-13.79	3	0.99
-9.28	1.31	-2	0.32
2.23	5.89	8	0.85
14.5	3.04	10	0.53
1.43	-9.67	7	0.8
6.32	3.94	-1	0.46
7.8	6.24	-8	0.06
-4.29	-12.87	-6	0.61
-6.52	-4.54	-1	0.26
-16.3	-0.69	-5	0.31
1.95	8.87	-8	0.88
1.94	7.66	-5	0.45
1.29	9.93	-10	0.6
-5.65	-1.67	10	0.04
-14.5	3.16	5	0.66
-7.8	4.56	9	0.41
10.46	5.08	5	0.33
9.53	2.73	2	0.67
-7.41	-13.13	-9	0.56
-9.7	0.62	2	0.94
-6.66	-9.71	-5	0.16
9.05	7.44	-10	0.69
-4.42	-11.41	9	0.84
-7.55	-13.09	2	0.57
-0.47	-18.37	-2	0.82
-6.82	-4.39	2	0.61
0.62	7.92	6	0.41
11.52	9.33	-5	0.42
-14.77	-2.64	5	0.96
-1.77	-5.28	-10	0.59
-7.57	-5.98	9	0.25
2.65	10.9	-3	0.1
4.74	13.14	-8	0.32
6.61	14.2	1	0.12
-12.5	7.92	-7	0.54
-4.17	0.72	-7	0.01
-7.7	2.7	-5	0.13
-4.18	5.16	-8	0.06
-0.59	7.11	-9	0.45
1.75	9.62	-2	0.42
-11.15	-13.38	10	0.27
-3.35	-1.17	-10	0.8
-10.04	0.68	2	0.42
-9.05	-5.42	9	0.62
5.96	3.39	8	0.56
3.32	9.94	-4	0.46
-4.35	-1.73	-7	0.33
16.6	0.61	-5	0.49
7.26	8.1	7	0.49
-12.36	-3.03	4	0.69
-7.81	6.68	-1	0.33
7.68	7.02	-5	0.79
